Row ID;Order ID;Order Date;Date Key;Contact Name;Country;City;Region;Subregion;Customer;Customer ID;Industry;Segment;Product;License;Sales;Quantity;Discount;Profit
35;APJ-2023-107727;10/20/2023;20231020;Amelia Campbell;Japan;Tokyo;APJ;JAPN;Glencore;1083;Misc;Enterprise;Support;77YXBOVGDH;29.472;3;00.02;99.468
36;APJ-2022-117590;12/09/22;20221209;Chloe Short;Japan;Aichi;APJ;JAPN;Procter & Gamble;1077;Consumer Products;Strategic;Site Analytics;GCT4GPUBVT;1.097.544;7;00.02;1.234.737
37;APJ-2022-117590;12/09/22;20221209;Chloe Short;Japan;Aichi;APJ;JAPN;Procter & Gamble;1077;Consumer Products;Strategic;SaaS Connector Pack;TKN9K1JO1D;190.92;5;00.06;-147.963
38;APJ-2021-117415;12/27/2021;20211227;Jasmine Metcalfe;Japan;Tokyo;APJ;JAPN;Banco Santander;1101;Finance;Enterprise;SaaS Connector Pack - Gold;2F0NIUM5X9;113.328;9;00.02;35.415
39;APJ-2021-117415;12/27/2021;20211227;Jasmine Metcalfe;Japan;Tokyo;APJ;JAPN;Banco Santander;1101;Finance;Enterprise;Marketing Suite;FBXEM82WEZ;5.323.992;3;00.32;-469.764
40;APJ-2021-117415;12/27/2021;20211227;Jasmine Metcalfe;Japan;Tokyo;APJ;JAPN;Banco Santander;1101;Finance;Enterprise;FinanceHub;TS9MS0FQVU;212.058;3;00.03;-15.147
41;APJ-2021-117415;12/27/2021;20211227;Jasmine Metcalfe;Japan;Tokyo;APJ;JAPN;Banco Santander;1101;Finance;Enterprise;Site Analytics;HDJMRDRWK6;371.168;4;00.02;417.564
42;APJ-2023-120999;09/11/23;20230911;Karen Mathis;Australia;Wollongong;APJ;ANZ;Pemex;1058;Energy;Strategic;Site Analytics;QINRKET2EK;147.168;4;00.02;165.564
43;AMER-2022-101343;7/18/2022;20220718;Dylan Dickens;United States;New York City;AMER;NAMER;Siemens;1043;Manufacturing;Strategic;Marketing Suite - Gold;DFHNNSTX0P;77.88;2;0;3.894
44;EMEA-2023-139619;9/20/2023;20230920;Sophie Lewis;Germany;Hanover;EMEA;EU-WEST;Samsung Electronics;1015;Tech;Strategic;Marketing Suite - Gold;616XTGD7Y3;95.616;2;00.02;95.616
45;EMEA-2022-118255;03/12/22;20220312;Gavin Mitchell;Luxembourg;Luxembourg;EMEA;EU-WEST;Sony;1028;Tech;Strategic;Data Smasher;F4GWWGL9KR;45.98;2;0;197.714
46;EMEA-2022-118255;03/12/22;20220312;Gavin Mitchell;Luxembourg;Luxembourg;EMEA;EU-WEST;Sony;1028;Tech;Strategic;ContactMatcher;JFCUNTQD5P;17.46;2;0;82.062
47;AMER-2020-146703;10/20/2020;20201020;Katherine Dowd;Brazil;Salvador;AMER;LATAM;Morgan Stanley;1068;Finance;SMB;Marketing Suite - Gold;S2GUIRDRRI;211.96;4;0;84.784
48;APJ-2022-169194;6/21/2022;20220621;Harry Brown;Philippines;Davao City;APJ;APAC;Bank of America Corp.;1011;Finance;SMB;Data Smasher;2L5WUVH1UW;45;3;0;0,232638889
49;APJ-2022-169194;6/21/2022;20220621;Harry Brown;Philippines;Davao City;APJ;APAC;Bank of America Corp.;1011;Finance;SMB;Site Analytics;O0QZ4DQ2DW;21.08;2;0;6.104
50;APJ-2021-115742;4/18/2021;20210418;Brian Dickens;India;Kolkata;APJ;IND;Siemens;1043;Manufacturing;SMB;ContactMatcher;4A8Q6U643K;38.22.00;6;0;179.634
51;APJ-2021-115742;4/18/2021;20210418;Brian Dickens;India;Kolkata;APJ;IND;Siemens;1043;Manufacturing;SMB;FinanceHub;N3660I16OB;75.18.00;6;0;353.346
52;APJ-2021-115742;4/18/2021;20210418;Brian Dickens;India;Kolkata;APJ;IND;Siemens;1043;Manufacturing;SMB;SaaS Connector Pack;DU3DC8HDNW;06.16;2;0;29.568
53;APJ-2021-115742;4/18/2021;20210418;Brian Dickens;India;Kolkata;APJ;IND;Siemens;1043;Manufacturing;SMB;FinanceHub;SCMV1FUA1Z;89.99;1;0;170.981
54;EMEA-2022-105816;12/12/22;20221212;Joseph Newman;United Kingdom;London;EMEA;UKIR;Tesco;1059;Retail;Strategic;Storage;5JTHBK78DZ;15.26;7;0;62.566
55;EMEA-2022-105816;12/12/22;20221212;Joseph Newman;United Kingdom;London;EMEA;UKIR;Tesco;1059;Retail;Strategic;Site Analytics;JPNWB3X2PG;1029.95;5;0;2.986.855
56;EMEA-2022-111682;6/18/2022;20220618;Nicola Howard;United Kingdom;Brighton;EMEA;UKIR;Aviva;1006;Finance;SMB;Marketing Suite - Gold;RI8MDZ0Y3A;208.56.00;6;0;52.14.00
57;EMEA-2022-111682;6/18/2022;20220618;Nicola Howard;United Kingdom;Brighton;EMEA;UKIR;Aviva;1006;Finance;SMB;Support;TA8D5XDFPN;32.04.00;5;0;15.552
58;EMEA-2022-111682;6/18/2022;20220618;Nicola Howard;United Kingdom;Brighton;EMEA;UKIR;Aviva;1006;Finance;SMB;FinanceHub;9QD1V31VWF;319.41.00;5;00.01;7.098
59;EMEA-2022-111682;6/18/2022;20220618;Nicola Howard;United Kingdom;Brighton;EMEA;UKIR;Aviva;1006;Finance;SMB;Support;NKEOT3DP5L;14.56;2;0;69.888
60;EMEA-2022-111682;6/18/2022;20220618;Nicola Howard;United Kingdom;Brighton;EMEA;UKIR;Aviva;1006;Finance;SMB;Data Smasher;I8M069JA80;30;2;0;03.03
61;EMEA-2022-111682;6/18/2022;20220618;Nicola Howard;United Kingdom;Brighton;EMEA;UKIR;Aviva;1006;Finance;SMB;ContactMatcher;3N1DY2AIMD;48.48.00;4;00.02;16.362
62;EMEA-2022-111682;6/18/2022;20220618;Nicola Howard;United Kingdom;Brighton;EMEA;UKIR;Aviva;1006;Finance;SMB;ChatBot Plugin;MBZM7LCSK4;0,088888889;1;0;0,058333333
63;AMER-2021-135545;11/24/2021;20211124;Stewart Wilson;United States;New York City;AMER;NAMER;Mondelez International;1067;Consumer Products;SMB;Data Smasher;LMJYGCZAFV;0,609722222;2;0;61.512
64;AMER-2021-135545;11/24/2021;20211124;Stewart Wilson;United States;New York City;AMER;NAMER;Mondelez International;1067;Consumer Products;SMB;ContactMatcher;MVEQDJNPR2;25.824;6;00.02;93.612
65;AMER-2021-135545;11/24/2021;20211124;Stewart Wilson;United States;New York City;AMER;NAMER;Mondelez International;1067;Consumer Products;SMB;Support;OLS0NNZ15B;146.73;3;0;689.631
66;AMER-2021-135545;11/24/2021;20211124;Stewart Wilson;United States;New York City;AMER;NAMER;Mondelez International;1067;Consumer Products;SMB;SaaS Connector Pack;84GUTTZTC0;79.76;4;0;223.328
67;APJ-2021-164175;4/30/2021;20210430;Eric McLean;Australia;Sydney;APJ;ANZ;Abbott Laboratories;1001;Healthcare;Enterprise;FinanceHub;6QHQUNX985;213.115;5;00.03;-152.225
68;AMER-2020-106376;12/05/20;20201205;Leah Clarkson;Chile;Puente Alto;AMER;LATAM;Morgan Stanley;1068;Finance;Strategic;ChatBot Plugin;91D0JN8T6U;1.113.024;8;00.02;1.113.024
69;AMER-2020-106376;12/05/20;20201205;Leah Clarkson;Chile;Puente Alto;AMER;LATAM;Morgan Stanley;1068;Finance;Strategic;Site Analytics;6NQZXRTE33;167.968;4;00.02;62.988
70;EMEA-2022-119823;06/05/22;20220605;Alison Davidson;Spain;Madrid;EMEA;EU-WEST;Fannie Mae;1035;Finance;SMB;Support;JH2K4261IC;75.88;2;0;356.636
71;EMEA-2022-106075;9/19/2022;20220919;Sophie Vance;United Kingdom;London;EMEA;UKIR;Aetna;1002;Healthcare;SMB;ContactMatcher;5MAZAYKQ5U;4.616;1;00.02;1.731
72;AMER-2023-114440;9/15/2023;20230915;Neil Gill;Brazil;Rio de Janeiro;AMER;LATAM;Intel;1051;Tech;SMB;Support;K4O1D2NXHZ;19.05;3;0;8.763
73;EMEA-2021-134026;4/26/2021;20210426;Anne Lee;South Africa;Cape Town;EMEA;MEA;Oracle;1072;Tech;SMB;FinanceHub;NPQNQFYUUU;831.936;8;00.02;-1.143.912
74;EMEA-2021-134026;4/26/2021;20210426;Anne Lee;South Africa;Cape Town;EMEA;MEA;Oracle;1072;Tech;SMB;SaaS Connector Pack;D0Z9FZR0JL;97.04.00;2;00.02;1.213
75;EMEA-2021-134026;4/26/2021;20210426;Anne Lee;South Africa;Cape Town;EMEA;MEA;Oracle;1072;Tech;SMB;Marketing Suite - Gold;X15ND79M8Q;72.784;1;00.02;-18.196
76;APJ-2023-118038;12/10/23;20231210;Maria Dyer;Japan;Tokyo;APJ;JAPN;Nissan Motor;1098;Transportation;Strategic;ContactMatcher;A4VC3VGTLE;1.248;3;00.08;-19.344
77;APJ-2023-118038;12/10/23;20231210;Maria Dyer;Japan;Tokyo;APJ;JAPN;Nissan Motor;1098;Transportation;Strategic;SaaS Connector Pack;IR30G9I4WJ;9.708;3;00.06;-58.248
78;APJ-2023-118038;12/10/23;20231210;Maria Dyer;Japan;Tokyo;APJ;JAPN;Nissan Motor;1098;Transportation;Strategic;Marketing Suite - Gold;PGTVTGM7XI;27.24.00;3;00.02;2.724
79;APJ-2020-147606;11/26/2020;20201126;Anne Lee;Japan;Tokyo;APJ;JAPN;Oracle;1072;Tech;SMB;SaaS Connector Pack;JQHP8C8VXP;19.03;5;00.06;-14.475
80;EMEA-2022-127208;6/13/2022;20220613;Julia Ellison;Portugal;Lisboa;EMEA;EU-WEST;Tyson Foods;1088;Consumer Products;Strategic;OneView;1I3JIURUQR;208.16.00;1;0;562.032
81;EMEA-2022-127208;6/13/2022;20220613;Julia Ellison;Portugal;Lisboa;EMEA;EU-WEST;Tyson Foods;1088;Consumer Products;Strategic;ContactMatcher;0UHOHNAAAD;0,718055556;3;0;80.352
82;AMER-2020-139451;10/12/20;20201012;Gordon McLean;United States;Los Angeles;AMER;NAMER;Verizon Communications;1094;Communications;SMB;ChatBot Plugin;920M0N09EE;14.09;5;0;4.172
83;AMER-2020-139451;10/12/20;20201012;Gordon McLean;United States;Los Angeles;AMER;NAMER;Verizon Communications;1094;Communications;SMB;Marketing Suite - Gold;9SVF10L0F3;21.39;1;0;62.031
84;EMEA-2021-149734;09/03/21;20210903;Jessica Buckland;Sweden;Uppsala;EMEA;NOR;Itochu;1032;Finance;Strategic;SaaS Connector Pack - Gold;CFUHIDO1WY;200.984;7;00.02;628.075
85;APJ-2023-119662;11/14/2023;20231114;Bernadette Nolan;Australia;Sydney;APJ;ANZ;Royal Dutch Shell;1031;Energy;Enterprise;Marketing Suite - Gold;CUL2MB77E0;230.376;3;00.02;-489.549
86;AMER-2023-140088;5/29/2023;20230529;Katherine Dowd;Colombia;Bogotá;AMER;LATAM;Morgan Stanley;1068;Finance;SMB;FinanceHub;RBNGNEEYS9;301.96;2;0;332.156
87;EMEA-2023-155558;10/27/2023;20231027;Sonia Ince;Luxembourg;Luxembourg;EMEA;EU-WEST;Daimler;1052;Transportation;SMB;Data Smasher;W731G6G61K;0,860416667;1;0;67.966
88;EMEA-2023-155558;10/27/2023;20231027;Sonia Ince;Luxembourg;Luxembourg;EMEA;EU-WEST;Daimler;1052;Transportation;SMB;FinanceHub;A3HQUY156G;06.16;2;0;29.568
89;APJ-2022-159695;04/06/22;20220406;William Lewis;Japan;Tokyo;APJ;JAPN;Fannie Mae;1035;Finance;Enterprise;Marketing Suite - Gold;45JXXNYX5W;158.368;7;00.02;138.572
90;AMER-2022-109806;9/18/2022;20220918;Melanie Young;United States;New York City;AMER;NAMER;Daimler;1052;Transportation;Strategic;ChatBot Plugin;AX50KL6AG9;20.01;3;0;6.633
91;AMER-2022-109806;9/18/2022;20220918;Melanie Young;United States;New York City;AMER;NAMER;Daimler;1052;Transportation;Strategic;Site Analytics;S4CEY2GSVW;73.584;2;00.02;82.782
92;AMER-2022-109806;9/18/2022;20220918;Melanie Young;United States;New York City;AMER;NAMER;Daimler;1052;Transportation;Strategic;Support;V86OBN8J1U;06.48;1;0;31.104
93;EMEA-2021-149587;1/31/2021;20210131;Edward Oliver;Luxembourg;Luxembourg;EMEA;EU-WEST;Morgan Stanley;1068;Finance;SMB;Support;XJEFE2O3YF;0,566666667;2;0;62.208
94;EMEA-2021-149587;1/31/2021;20210131;Edward Oliver;Luxembourg;Luxembourg;EMEA;EU-WEST;Morgan Stanley;1068;Finance;SMB;SaaS Connector Pack;5XEHT10HDW;53.34.00;3;0;165.354
95;EMEA-2021-149587;1/31/2021;20210131;Edward Oliver;Luxembourg;Luxembourg;EMEA;EU-WEST;Morgan Stanley;1068;Finance;SMB;ContactMatcher;U40N63E6AK;32.96;2;0;161.504
96;EMEA-2023-109484;11/07/23;20231107;Peter Quinn;Belgium;Brussels;EMEA;EU-WEST;Walgreens;1095;Retail;Enterprise;ContactMatcher;VK1TWXDWUR;5.682;1;00.07;-3.788
97;EMEA-2023-161018;11/10/23;20231110;Max Marshall;United Kingdom;London;EMEA;UKIR;Boeing;1014;Manufacturing;Enterprise;SaaS Connector Pack;UFEXZDF5TK;96.53.00;7;0;405.426
98;AMER-2023-157833;6/18/2023;20230618;Jan Watson;United States;Los Angeles;AMER;NAMER;Valero Energy;1093;Energy;SMB;ContactMatcher;GJFN2RJA9U;51.312;3;00.02;179.592
99;EMEA-2022-149223;09/07/22;20220907;Carol Ball;Luxembourg;Luxembourg;EMEA;EU-WEST;Nestle;1089;Consumer Products;Strategic;OneView;PFLFDN3SOU;77.88;6;0;225.852
100;APJ-2022-158568;8/30/2022;20220830;Gavin Walsh;Australia;Sydney;APJ;ANZ;Philip Morris International;1075;Consumer Products;Enterprise;Support;2CWM52X1X9;64.624;7;00.02;226.184
101;APJ-2022-158568;8/30/2022;20220830;Gavin Walsh;Australia;Sydney;APJ;ANZ;Philip Morris International;1075;Consumer Products;Enterprise;Data Smasher;LW1M6UDC4B;95.976;3;00.02;-107.973
102;APJ-2022-158568;8/30/2022;20220830;Gavin Walsh;Australia;Sydney;APJ;ANZ;Philip Morris International;1075;Consumer Products;Enterprise;ContactMatcher;WCITXGLF0J;1.788;3;00.08;-30.396
103;EMEA-2022-129903;12/02/22;20221202;Penelope Peake;Luxembourg;Luxembourg;EMEA;EU-WEST;Trafigura Group;1100;Finance;SMB;Support;45EAEXTILE;1,022222222;4;0;117.208
104;EMEA-2021-156867;11/13/2021;20211113;Amy Scott;Russia;Moscow;EMEA;EU-EAST;Walmart;1096;Retail;SMB;Data Smasher;EV59Z98WXW;238.896;6;00.02;-268.758
105;EMEA-2021-156867;11/13/2021;20211113;Amy Scott;Russia;Moscow;EMEA;EU-EAST;Walmart;1096;Retail;SMB;SaaS Connector Pack;YR7I08I1K4;102.36.00;3;00.02;-38.385
106;EMEA-2021-156867;11/13/2021;20211113;Amy Scott;Russia;Moscow;EMEA;EU-EAST;Walmart;1096;Retail;SMB;ContactMatcher;W01T1PXXK7;36.882;3;00.07;-258.174
107;EMEA-2023-119004;11/24/2023;20231124;Carl Jackson;Sweden;Stockholm;EMEA;NOR;Cisco Systems;1019;Tech;SMB;Data Smasher;6D89G3BGGH;74.112;8;00.02;176.016
108;EMEA-2023-119004;11/24/2023;20231124;Carl Jackson;Sweden;Stockholm;EMEA;NOR;Cisco Systems;1019;Tech;SMB;Site Analytics;ECNQ9AS54S;27.992;1;00.02;20.994
109;EMEA-2023-119004;11/24/2023;20231124;Carl Jackson;Sweden;Stockholm;EMEA;NOR;Cisco Systems;1019;Tech;SMB;ChatBot Plugin;D0H5JTRD3R;3.304;1;00.02;10.738
110;APJ-2021-129476;10/15/2021;20211015;Joe Wallace;Australia;Canberra;APJ;ANZ;Nissan Motor;1098;Transportation;Enterprise;Data Smasher;OG63K8FFP9;339.96;5;00.02;67.992
111;EMEA-2023-146780;12/26/2023;20231226;Luke Mills;United Kingdom;London;EMEA;UKIR;Prudential Financial;1078;Finance;Strategic;SaaS Connector Pack;E5KT4VQ59T;41.96;2;0;109.096
112;EMEA-2022-128867;11/04/22;20221104;Alexandra Dyer;Netherlands;The Hague;EMEA;EU-WEST;Walmart;1096;Retail;SMB;ChatBot Plugin;FDKOX22CWX;75.96;2;0;22.788
113;EMEA-2022-128867;11/04/22;20221104;Alexandra Dyer;Netherlands;The Hague;EMEA;EU-WEST;Walmart;1096;Retail;SMB;ContactMatcher;OAF6MA4XZ7;27.24.00;6;0;133.476
114;AMER-2020-115259;8/25/2020;20200825;Rebecca Dickens;Mexico;Mexico City;AMER;LATAM;Amazon;1004;Tech;SMB;Storage;1DRXSUGWY6;40.096;14;00.02;145.348
115;AMER-2020-115259;8/25/2020;20200825;Rebecca Dickens;Mexico;Mexico City;AMER;LATAM;Amazon;1004;Tech;SMB;SaaS Connector Pack - Gold;U9IXLQYDG8;0,216666667;2;00.02;1.652
116;AMER-2020-115259;8/25/2020;20200825;Rebecca Dickens;Mexico;Mexico City;AMER;LATAM;Amazon;1004;Tech;SMB;Support;NGH6JD32CX;23.976;3;00.02;74.925
117;AMER-2020-115259;8/25/2020;20200825;Rebecca Dickens;Mexico;Mexico City;AMER;LATAM;Amazon;1004;Tech;SMB;SaaS Connector Pack - Gold;QHG92H9NGL;130.464;6;00.02;440.316
118;AMER-2021-110457;03/02/21;20210302;Audrey Hardacre;Canada;Toronto;AMER;NAMER;Trafigura Group;1100;Finance;SMB;ContactMatcher;EHVU0FM6IP;787.53.00;3;0;1.653.813
119;EMEA-2021-136476;04/05/21;20210405;Jennifer Dowd;South Africa;Cape Town;EMEA;MEA;Gazprom;1027;Energy;Strategic;ContactMatcher;VKTELEXOAJ;157.794;1;00.07;-1.157.156
120;APJ-2022-103730;6/13/2022;20220613;Natalie Sanderson;Philippines;Manila;APJ;APAC;Aetna;1002;Healthcare;SMB;SaaS Connector Pack;YWZAV09L95;47.04.00;3;0;183.456
121;APJ-2022-103730;6/13/2022;20220613;Natalie Sanderson;Philippines;Manila;APJ;APAC;Aetna;1002;Healthcare;SMB;ContactMatcher;6HDH2X5C4Q;30.84;4;0;13.878
122;APJ-2022-103730;6/13/2022;20220613;Natalie Sanderson;Philippines;Manila;APJ;APAC;Aetna;1002;Healthcare;SMB;Marketing Suite - Gold;UFK94J59ZU;226.56.00;6;0;634.368
123;APJ-2022-103730;6/13/2022;20220613;Natalie Sanderson;Philippines;Manila;APJ;APAC;Aetna;1002;Healthcare;SMB;SaaS Connector Pack - Gold;ESTJDHFQQJ;115.02.00;9;0;51.759
124;APJ-2022-103730;6/13/2022;20220613;Natalie Sanderson;Philippines;Manila;APJ;APAC;Aetna;1002;Healthcare;SMB;Site Analytics;10H4K5XYCK;68.04.00;7;0;197.316
125;APJ-2020-152030;12/26/2020;20201226;Samantha Rampling;Japan;Tokyo;APJ;JAPN;FedEx;1036;Transportation;Enterprise;FinanceHub;CL5Z5BO4AX;600.558;3;00.03;-85.794
126;APJ-2020-134614;9/20/2020;20200920;Sally Berry;Australia;Geelong;APJ;ANZ;Tesco;1059;Retail;SMB;ContactMatcher;NR9RLNIDDN;617.07.00;6;00.05;-407.682
127;AMER-2023-107272;11/06/23;20231106;Anthony Clark;Chile;Santiago;AMER;LATAM;Honda Motor;1045;Manufacturing;SMB;ContactMatcher;VQ46SD57ZS;2.388;2;00.07;-18.308
128;AMER-2023-107272;11/06/23;20231106;Anthony Clark;Chile;Santiago;AMER;LATAM;Honda Motor;1045;Manufacturing;SMB;Marketing Suite - Gold;D0E36MWJEW;243.992;7;00.02;30.499
129;AMER-2022-125969;11/07/22;20221107;Victor Short;United States;New York City;AMER;NAMER;Prudential Financial;1078;Finance;Enterprise;FinanceHub;JJPL720VAS;81.424;2;00.02;-91.602
130;AMER-2022-125969;11/07/22;20221107;Victor Short;United States;New York City;AMER;NAMER;Prudential Financial;1078;Finance;Enterprise;SaaS Connector Pack;8YKVWCUJ4E;238.56.00;3;0;262.416
131;AMER-2023-164147;02/03/23;20230203;Austin Newman;Mexico;Mexico City;AMER;LATAM;Banco Santander;1101;Finance;Strategic;Site Analytics;6JGGI7ZZ6I;59.97;5;00.04;-11.994
132;AMER-2023-164147;02/03/23;20230203;Austin Newman;Mexico;Mexico City;AMER;LATAM;Banco Santander;1101;Finance;Strategic;Support;EDMREQV8TS;78.304;2;00.02;29.364
133;AMER-2023-164147;02/03/23;20230203;Austin Newman;Mexico;Mexico City;AMER;LATAM;Banco Santander;1101;Finance;Strategic;Storage;7WHCO2BFB0;21.456;9;00.02;69.732
134;AMER-2022-145583;10/14/2022;20221014;Rose Scott;United States;Aurora;AMER;NAMER;CVS Health;1026;Retail;SMB;Support;PWIULJAE51;20.04;3;0;96.192
135;AMER-2022-145583;10/14/2022;20221014;Rose Scott;United States;Aurora;AMER;NAMER;CVS Health;1026;Retail;SMB;Support;QBAIA88519;35.44.00;1;0;166.568
